index,roomname,region,vanillaitemname,roomid,locationid,hiddenness,altlocationids
99,Blue Bull Missile,Z Factor,Item,7DA55,7DA55,open,0
100,Fortress Missile,Z Factor,Item,7DA81,7DA81,chozo,0
101,Eden Missile,Z Factor,Item,7DABD,7DABD,hidden,0
102,Purple Guy Missile,Z Factor,Item,7DAC5,7DAC5,open,0
103,Tube Spark Super Missile,Z Factor,Item,7DAD9,7DAD9,open,0
104,Pipe Dream Super Missile,Z Factor,Item,7DB51,7DB51,open,0
105,Grapple Climb Missile,Z Factor,Item,7DB7D,7DB7D,open,0
106,Space Jump,Z Factor,Item,7DBD1,7DBD1,chozo,0
107,Jailbird Missile,Z Factor,Item,7DBD9,7DBD9,chozo,0
108,Evidence Energy Tank,Z Factor,Item,7DBE7,7DBE7,open,0
109,Pre Crumble City Missile,Z Factor,Item,7DC19,7DC19,hidden,0
110,Plasma Beam,Z Factor,Item,7DC2D,7DC2D,open,0
