index,roomname,region,vanillaitemname,roomid,locationid,hiddenness,altlocationids
63,Kraid Speedball Super,SZM,Item,310D88,310D88,open,0
111,Lava Dive Chozo Energy Tank,SZM,Item,310D9C,310D9C,open,0
30,LN Entry Spark Pillar Missile,SZM,Item,310DFC,310DFC,open,0
89,Gold Torizo Power Bomb,SZM,Item,310E6E,310E6E,open,0
87,LN Screw Spark Power Bomb,SZM,Item,310FCA,310FCA,open,0
68,Donald Duck Maze Super,SZM,Item,310FE0,310FE0,open,0
32,Donald Duck Missile,SZM,Item,310FE6,310FE6,open,0
34,LN Pink Chambers Missile,SZM,Item,31102E,31102E,open,0
115,LN Green Multispark Energy Tank,SZM,Item,311054,311054,hidden,0
69,LN Cage Super,SZM,Item,3110BA,3110BA,open,0
82,LN Ten Spark Power Bomb,SZM,Item,3110C0,3110C0,open,0
103,Retro White Climb Energy,SZM,Item,311274,311274,open,0
37,Retro White Climb Missile,SZM,Item,31127A,31127A,open,0
53,Retro White Climb Super,SZM,Item,311298,311298,open,0
8,Retro Yellow Missile,SZM,Item,3112C0,3112C0,open,0
100,Retro Mockball Energy Tank,SZM,Item,3112C6,3112C6,open,0
33,LN Circle Missile,SZM,Item,311300,311300,hidden,0
143,Screw Attack,SZM,Item,311392,311392,chozo,0
1,Moat Chozo,SZM,Item,3113C0,3113C0,chozo,0
83,Tourian Upper Vent Power Bomb,SZM,Item,31142A,31142A,open,0
86,Tourian Tiny Lava Power Bomb,SZM,Item,311456,311456,hidden,0
138,Tourian Backdoor X-Ray,SZM,Item,3114FA,3114FA,open,31189E
85,Tourian Backdoor Power Bomb,SZM,Item,311500,311500,open,3118A4
116,Tourian Vent Energy Tank,SZM,Item,311552,311552,open,0
36,Tourian Vent Missile,SZM,Item,311558,311558,open,0
70,Tourian Spark Super,SZM,Item,3116C0,3116C0,open,0
35,Tourian Outside Spark Missile,SZM,Item,3116C6,3116C6,open,0
141,Plasma Beam,SZM,Item,311800,311800,chozo,0
117,Level 2 Energy Tank,SZM,Item,311A54,311A54,open,0
88,Ship Hangar Power Bomb,SZM,Item,311BF8,311BF8,hidden,0
42,Outside Ship Lower Missile,SZM,Item,312320,312320,open,0
92,Ship Low Crumble Power Bomb,SZM,Item,312390,312390,hidden,0
240,Ship X-Ray Scope,SZM,Item,3123B0,3123B0,open,0
49,Ship Purple Low Super,SZM,Item,3123B6,3123B6,open,0
41,Dachora Escape Missile,SZM,Item,312634,312634,open,0
52,Outside Ship Hull Super,SZM,Item,312698,312698,hidden,0
119,Outside Ship Middle Energy Tank,SZM,Item,31269E,31269E,hidden,0
93,Outside Ship Vent Pirates Power Bomb,SZM,Item,3126E2,3126E2,open,0
95,Ship Hello Supers Power Bomb,SZM,Item,312812,312812,hidden,0
127,Ship Reserve Tank,SZM,Item,31284E,31284E,chozo,0
58,Ship Reserve Super,SZM,Item,312854,312854,open,0
91,Precious Power Bomb,SZM,Item,312984,312984,hidden,0
118,Ship Block Spark Energy Tank,SZM,Item,312A30,312A30,open,0
120,Chozodia Gate Pair Energy Tank,SZM,Item,312AA0,312AA0,open,312A74
43,Chozodia Gate Pair Missile,SZM,Item,312AA6,312AA6,open,312A7A
59,Botwoon Super,SZM,Item,312BA0,312BA0,chozo,0
94,Botwoon Power Bomb,SZM,Item,312BFC,312BFC,chozo,0
139,Gravity Suit,SZM,Item,312C60,312C60,open,0
123,Botwoon Energy Tank,SZM,Item,312CD0,312CD0,open,0
122,Tourian Escape Energy Tank,SZM,Item,312D90,312D90,hidden,0
113,LN Deep Spark Energy Tank,SZM,Item,312DA6,312DA6,open,0
130,Charge Beam,SZM,Item,312E10,312E10,chozo,0
17,Tourian Challenge Missile,SZM,Item,312E84,312E84,open,0
84,Old Mother Brain Power Bomb,SZM,Item,312FCC,312FCC,open,0
78,Spikesuit Power Bomb,SZM,Item,312FF0,312FF0,chozo,0
26,Norfair Bubble Wrap Missile,SZM,Item,313050,313050,hidden,0
112,Out of LN Energy Tank,SZM,Item,3130D0,3130D0,hidden,0
79,Spring Ball Wall Power Bomb,SZM,Item,3131FE,3131FE,open,0
142,Spring Ball,SZM,Item,31320A,31320A,open,0
124,Crateria Reserve Tank,SZM,Item,313240,313240,chozo,0
109,Norfair Wood Chozo Energy Tank,SZM,Item,313294,313294,open,0
65,Norfair Wood Chozo Super Missile,SZM,Item,3132A0,3132A0,open,0
22,Retro Basement Bomb Missile,SZM,Item,313490,313490,open,0
140,Space Jump,SZM,Item,313540,313540,chozo,0
45,Flappy Bird Missile,SZM,Item,313626,313626,open,0
20,Spazer Right Missile,SZM,Item,313682,313682,open,0
19,Spazer Left Missile,SZM,Item,313688,313688,open,0
131,Spazer,SZM,Item,3136B8,3136B8,chozo,0
135,Ice Beam,SZM,Item,3136E6,3136E6,chozo,0
40,Norfair Double Pillar Pink Missile,SZM,Item,313740,313740,hidden,0
121,Chozodia Green Vent Energy Tank,SZM,Item,3137FA,3137FA,open,0
54,Outside Ship Tube Super,SZM,Item,31382A,31382A,open,0
128,Morph Ball,SZM,Item,313892,313892,open,0
38,Billy Mays Missile,SZM,Item,3138F0,3138F0,open,0
104,Retro Ceiling Energy Tank,SZM,Item,313902,313902,hidden,0
106,Kraid Left Shaft Energy Tank,SZM,Item,313926,313926,hidden,0
96,Ridley Energy Tank,SZM,Item,3139D0,3139D0,open,0
31,LN Chain Hang Missile,SZM,Item,313A20,313A20,open,0
90,Speed Robots Power Bomb,SZM,Item,3145F1,3145F1,open,0
44,Security Missile,SZM,Item,3146B3,3146B3,open,0
126,Norfair Reserve,SZM,Item,3147A7,3147A7,chozo,0
